nombre git,nombre,encabezado,name,tipo,estado,autor,tags,ayudantes,costo,dificultad,tarda,permite
solv-express-invite,¡Aprende a diseñar una invitación exprés sin ser un experto! ,Las invitaciones son clave para convocar personas.,Learn how to design your express invitation without being an expert!,Solución,Publicado,Manuela,Personas,1 ayudante,Gratis,Fácil,Horas,Mejorar
solv-ally-with-places,¿Cómo aliarse con lugares que convocan? ,Otros actores pueden hacer que tu mensaje llegue más lejos.,How to ally with places that summon?,Solución,Publicado,Belén,Personas,Sin ayudantes,< USD 25,Media,Días,"Compartir, Conseguir"
solv-amplify-signal-inside,¿Cómo amplificar tu señal móvil dentro de un espacio? ,"Con algunos ajustes, puedes aumentar la potencia de la señal.",How to amplify your mobile signal inside a place?,Solución,Publicado,Sanjay,Señal,Sin ayudantes,USD 25 - 50,Fácil,Horas,Mejorar
solv-bandwidth,¿Cómo aprovechar mi ancho de banda? ,Prácticas que te permitirán optimizar tu conexión.,How make better use of my bandwidth?,Solución,Publicado,Manuela,Señal,2-3 ayudantes,Gratis,Media,Horas,Mejorar
solv-share-internet-cellphone,¿Cómo compartir Internet desde mi celular? ,Reiniciar y compartir el internet de su teléfono con otros.,How to share Internet from my cell phone?,Solución,Publicado,Nicolás,"Dispositivos, Personas, Señal",2-3 ayudantes,USD 25 - 50,Media,Días,Compartir
solv-share-computers,¿Cómo compartir los computadores disponibles? ,Descubre lo potente que es usar el Internet en grupo.,How to share available computers?,Solución,Publicado,Sanjay,"Dispositivos, Personas",2-3 ayudantes,Gratis,Fácil,Horas,Compartir
solv-buy-cellphone,¿Cómo comprar un celular adecuado para mí? ,Un celular que se ajuste a tus capacidades y necesidades.,How to buy a suitable cell phone for me?,Solución,Publicado,Nicolás,Dispositivos,Sin ayudantes,> USD 50,Fácil,Horas,Conseguir
solv-buy-computer,¿Cómo comprar un computador? ,El mejor computador que se ajuste nuestra capacidad y necesidades.,How to buy a computer for yourself?,Solución,Publicado,Nicolás,Dispositivos,Sin ayudantes,Gratis,Fácil,Horas,Conseguir
solv-buy-phone-plan,¿Cómo comprar un plan celular adecuado para mi? ,Un plan de celular que se ajuste a tus capacidades y necesidades.,How to buy a suitable cellular plan for me?,Solución,Publicado,Nicolás,Dispositivos,Sin ayudantes,> USD 50,Media,Minutos,Conseguir
solv-buy-satellite-antenna,¿Cómo comprar una antena satelital? ,Escoge un servicio de internet para lugares con cero conexión.,How to buy a satellite antenna?,Solución,Publicado,Nicolás,Señal,Más de 3 ayudantes,Gratis,Media,Horas,Conseguir
solv-donated-equipment,¿Cómo conseguir equipos donados? ,Darle un segundo uso a equipos que de otra manera serían descartados.,How to get donated equipment?,Solución,Publicado,Mateo,"Dispositivos, Personas",Sin ayudantes,Gratis,Media,Horas,Conseguir
solv-write-invitation,¿Cómo escribir una buena invitación? ,Atrae la atención de las personas que necesitas.,How to write a good invitation,Solución,Prioritario,Manuela,Personas,2-3 ayudantes,< USD 25,Fácil,Horas,Conseguir
solv-install-3G-antenna,¿Cómo instalar mi antena 3/4G? ,"Instalar una antena, para tener Internet en un espacio fijo.",How to install my 3/4G antenna?,Solución,Publicado,Sanjay,Señal,2-3 ayudantes,Gasto mensual,Media,Horas,"Conseguir, Mejorar"
solv-improve-signal-router,¿Cómo mejorar la señal de tu módem? ,Algunos consejos para sacarle el mayor provecho a tu módem.,How to improve your router signal?,Solución,Publicado,Manuela,Señal,2-3 ayudantes,Gratis,Media,Horas,Mejorar
